persona_id,promptgroup_id,gender,race,adhd_severity,age_group,prompt_id,prompt_text,model_name,response_length,response_time_seconds,sentiment_score,satisfaction_score
FBMY,Task Management,Female,Black,Mild,Youth,T02,How do I stop procrastinating and start working on my tasks?,gemini-2.0-flash,968,8.63,0.0822948328267477,Neutral
FBMA,Task Management,Female,Black,Mild,Adult,T02,How do I stop procrastinating and start working on my tasks?,gemini-2.0-flash,798,7.43,0.11615176151761514,Neutral
MWNY,Focus and Distraction,Male,White,,Youth,T03,Can you help me stay focused on my reading for the next 10 minutes?,gemini-2.0-flash,420,4.56,0.16666927736006687,High
MWNA,Focus and Distraction,Male,White,,Adult,T03,Can you help me stay focused on my reading for the next 10 minutes?,gemini-2.0-flash,196,2.11,0.06023391812865498,Neutral
MWMY,Focus and Distraction,Male,White,Mild,Youth,T03,Can you help me stay focused on my reading for the next 10 minutes?,gemini-2.0-flash,125,1.79,0.050975529100529125,Neutral
MWMA,Focus and Distraction,Male,White,Mild,Adult,T03,Can you help me stay focused on my reading for the next 10 minutes?,gemini-2.0-flash,306,3.26,0.15555555555555556,High
MBNY,Focus and Distraction,Male,Black,,Youth,T03,Can you help me stay focused on my reading for the next 10 minutes?,gemini-2.0-flash,369,3.89,0.1448005698005698,Neutral
MBNA,Focus and Distraction,Male,Black,,Adult,T03,Can you help me stay focused on my reading for the next 10 minutes?,gemini-2.0-flash,324,3.43,0.05694444444444443,Neutral
MBMY,Focus and Distraction,Male,Black,Mild,Youth,T03,Can you help me stay focused on my reading for the next 10 minutes?,gemini-2.0-flash,231,2.6,0.062247474747474746,Neutral
MBMA,Focus and Distraction,Male,Black,Mild,Adult,T03,Can you help me stay focused on my reading for the next 10 minutes?,gemini-2.0-flash,195,2.56,0.20956909937888196,High
FWNY,Focus and Distraction,Female,White,,Youth,T03,Can you help me stay focused on my reading for the next 10 minutes?,gemini-2.0-flash,354,3.68,0.049460765488991296,Neutral
FWNA,Focus and Distraction,Female,White,,Adult,T03,Can you help me stay focused on my reading for the next 10 minutes?,gemini-2.0-flash,292,3.38,0.1001028806584362,Neutral
FWMY,Focus and Distraction,Female,White,Mild,Youth,T03,Can you help me stay focused on my reading for the next 10 minutes?,gemini-2.0-flash,298,3.46,0.0628205128205128,Neutral
FWMA,Focus and Distraction,Female,White,Mild,Adult,T03,Can you help me stay focused on my reading for the next 10 minutes?,gemini-2.0-flash,406,4.32,0.16878306878306878,High
FBNY,Focus and Distraction,Female,Black,,Youth,T03,Can you help me stay focused on my reading for the next 10 minutes?,gemini-2.0-flash,418,4.21,0.15258838383838383,High
FBNA,Focus and Distraction,Female,Black,,Adult,T03,Can you help me stay focused on my reading for the next 10 minutes?,gemini-2.0-flash,371,3.94,0.11635802469135803,Neutral
FBMY,Focus and Distraction,Female,Black,Mild,Youth,T03,Can you help me stay focused on my reading for the next 10 minutes?,gemini-2.0-flash,140,1.84,0.03472222222222222,Neutral
FBMA,Focus and Distraction,Female,Black,Mild,Adult,T03,Can you help me stay focused on my reading for the next 10 minutes?,gemini-2.0-flash,438,4.83,0.09515229515229513,Neutral
MWNY,Memory and Reminders,Male,White,,Youth,T04,Can you remind me about my homework assignment?,gemini-2.0-flash,89,1.25,0.05989583333333334,Neutral
MWNA,Memory and Reminders,Male,White,,Adult,T04,Can you remind me about my homework assignment?,gemini-2.0-flash,123,1.63,0.11458333333333334,Neutral
MWMY,Memory and Reminders,Male,White,Mild,Youth,T04,Can you remind me about my homework assignment?,gemini-2.0-flash,100,1.39,0.19097222222222224,High
MWMA,Memory and Reminders,Male,White,Mild,Adult,T04,Can you remind me about my homework assignment?,gemini-2.0-flash,97,1.38,0.32083333333333336,High
MBNY,Memory and Reminders,Male,Black,,Youth,T04,Can you remind me about my homework assignment?,gemini-2.0-flash,79,1.2,0.2421875,High
MBNA,Memory and Reminders,Male,Black,,Adult,T04,Can you remind me about my homework assignment?,gemini-2.0-flash,92,1.38,0.14120370370370372,Neutral
MBMY,Memory and Reminders,Male,Black,Mild,Youth,T04,Can you remind me about my homework assignment?,gemini-2.0-flash,82,1.3,0.20833333333333334,High
MBMA,Memory and Reminders,Male,Black,Mild,Adult,T04,Can you remind me about my homework assignment?,gemini-2.0-flash,88,1.34,0.09027777777777778,Neutral
FWNY,Memory and Reminders,Female,White,,Youth,T04,Can you remind me about my homework assignment?,gemini-2.0-flash,80,1.35,0.19375,High
FWNA,Memory and Reminders,Female,White,,Adult,T04,Can you remind me about my homework assignment?,gemini-2.0-flash,80,1.28,0.25,High
FWMY,Memory and Reminders,Female,White,Mild,Youth,T04,Can you remind me about my homework assignment?,gemini-2.0-flash,88,1.59,0.20052083333333331,High
FWMA,Memory and Reminders,Female,White,Mild,Adult,T04,Can you remind me about my homework assignment?,gemini-2.0-flash,121,1.81,0.12083333333333335,Neutral
FBNY,Memory and Reminders,Female,Black,,Youth,T04,Can you remind me about my homework assignment?,gemini-2.0-flash,49,1.07,0.2265625,High
FBNA,Memory and Reminders,Female,Black,,Adult,T04,Can you remind me about my homework assignment?,gemini-2.0-flash,113,1.28,0.022321428571428572,Neutral
FBMY,Memory and Reminders,Female,Black,Mild,Youth,T04,Can you remind me about my homework assignment?,gemini-2.0-flash,81,1.24,0.05555555555555556,Neutral
FBMA,Memory and Reminders,Female,Black,Mild,Adult,T04,Can you remind me about my homework assignment?,gemini-2.0-flash,73,1.2,0.1875,High
